"Key","Comment","ja","en","zh_cn","zh_tw","ko","es","ar","id"
"CannotBeUndone","","この操作は戻せません。","This action cannot be undone.","此操作无法撤销。","此操作無法復原。","이 작업은 되돌릴 수 없습니다。","Esta acción no se puede deshacer.","لا يمكن التراجع عن هذا الإجراء。","Tindakan ini tidak dapat dibatalkan."
"Character","","立ち絵","Standing Picture","立绘","立繪","스탠딩 일러스트","Ilustración de personaje","صورة شخصية واقفة","Gambar Karakter"
"CheckAll","","すべてチェック","Check All","全选","全選","모두 선택","Marcar todo","تحديد الكل","Centang Semua"
"ClearFilter","","フィルタ解除","Clear Filter","清除筛选","清除篩選","필터 해제","Limpiar filtro","مسح الفلتر","Hapus Filter"
"Confirm","","確認","Confirm","确认","確認","확인","Confirmar","تأكيد","Konfirmasi"
"ConfirmBulkInstall","","件のプラグインを一括インストールしますか？","Do you want to bulk install these plugins?","是否批量安装这些插件？","是否批次安裝這些外掛？","개 플러그인을 일괄 설치하시겠습니까?","Apakah Anda ingin menginstal plugin ini secara massal?","¿Desea instalar estos plugins por lotes?","هل تريد تثبيت هذه الملحقات دفعة واحدة؟"
"ConfirmDeletion","","削除の確認","Confirm Deletion","确认删除","確認刪除","삭제 확인","Confirmar eliminación","تأكيد الحذف","Konfirmasi Penghapusan"
"ConfirmUpdate","","アップデートしますか？","Do you want to update?","是否更新？","是否更新？","업데이트하시겠습니까?","¿Desea actualizar?","هل تريد التحديث؟","Apakah Anda ingin memperbarui?"
"CreateNew","","新規作成","Create New","新建","新建","새로 만들기","Crear nuevo","إنشاء جديد","Buat Baru"
"CurrentVersion","","現在のバージョン","Current Version","当前版本","目前版本","현재 버전","Versión actual","الإصدار الحالي","Versi Saat Ini"
"CustomizeHub","","Hubのカスタマイズ","Customize Hub","自定义 Hub","自定義 Hub","Hub 커스터마이징","Personalizar Hub","تخصيص Hub","Kustomisasi Hub"
"Dark","","ダーク","Dark","深色","深色","다크","Oscuro","داكن","Gelap"
"Delete","","削除","Delete","删除","刪除","삭제","Eliminar","حذف","Hapus"
"DeleteCountPermanently","","件のプラグインを完全に削除しますか？","Do you want to permanently delete these plugins?","是否永久删除这些插件？","是否永久刪除這些外掛？","개의 플러그인을 완전히 삭제하시겠습니까?","¿Desea eliminar permanentemente estos plugins?","هل تريد حذف هذه الملحقات نهائيًا؟","Apakah Anda ingin menghapus plugin ini secara permanen?"
"DeleteFailed","","の削除に失敗","Failed to delete","删除失败","刪除失敗","삭제 실패","Error al eliminar","فشل في الحذف","Gagal menghapus"
"DeletePermanently","","を完全に削除しますか？","Do you want to delete this permanently?","是否将其永久删除？","是否將其永久刪除？","을(를) 완전히 삭제하시겠습니까?","¿Desea eliminar esto permanentemente?","هل تريد حذفه نهائيًا؟","Apakah Anda ingin menghapus ini secara permanen?"
"DeleteSelected","","選択項目を削除","Delete Selected","删除所选内容","刪除所選內容","선택 항목 삭제","Eliminar seleccionado","حذف المحدد","Hapus yang Dipilih"
"Disable","","無効","Disable","禁用","禁用","비활성화","Desactivar","تعطيل","Nonaktifkan"
"DistributionSite","","配布サイト","Distribution Site","发布网站","發布網站","배포 사이트","Sitio de distribución","موقع التوزيع","Situs Distribusi"
"DownloadAndRun","","※.ymmeファイルをダウンロードして実行します。","*.ymme file will be downloaded and executed.","※下载并运行 .ymme 文件。","※下載並執行 .ymme 檔案。","※.ymme 파일을 다운로드하여 실행합니다。","*El archivo .ymme se descargará y ejecutará.","سيتم تنزيل ملف .ymme وتشغيله.※","※File .ymme akan diunduh dan dijalankan."
"DownloadError","","ダウンロード中にエラーが発生しました:","An error occurred during download:","下载过程中发生错误：","下載過程中發生錯誤：","다운로드 중 오류가 발생했습니다:","Se produjo un error durante la descarga:","حدث خطأ أثناء التنزيل:","Terjadi kesalahan saat mengunduh:"
"Enable","","有効","Enable","启用","啟用","활성화","Activar","تفعيل","Aktifkan"
"EnableDisableSelected","","選択項目を有効/無効","Enable/Disable Selected","启用/禁用所选内容","啟用/禁用所選內容","선택 항목 활성화/비활성화","Activar/desactivar seleccionado","تفعيل/تعطيل المحدد","Aktifkan/Nonaktifkan yang Dipilih"
"EndDistribution","","配布終了","End of Distribution","停止发布","停止發布","배포 종료","Fin de la distribución","نهاية التوزيع","Distribusi Berakhir"
"ExitHubOnYmm4Start","","YMM4起動時にHubを終了する","Exit Hub when YMM4 starts","YMM4 启动时退出 Hub","YMM4 啟動時退出 Hub","YMM4 실행 시 Hub 종료","Cerrar Hub al iniciar YMM4","إغلاق Hub عند بدء تشغيل YMM4","Keluar dari Hub saat YMM4 dimulai"
"ExitYmm4ForPlugin","","プラグイン操作のためにYMM4を終了しますか？","Do you want to exit YMM4 for plugin operations?","是否为了插件操作而退出 YMM4？","是否為了外掛操作而退出 YMM4？","플러그인 조작을 위해 YMM4를 종료하시겠습니까?","¿Desea cerrar YMM4 para realizar operaciones con plugins?","هل تريد إغلاق YMM4 لعمليات الملحقات؟","Apakah Anda ingin keluar dari YMM4 untuk operasi plugin?"
"Extension","","拡張子","Extension","扩展名","副檔名","확장자","Extensión","امتداد","Ekstensi"
"FileName","","ファイル名","File Name","文件名","檔案名稱","파일명","Nombre de archivo","اسم الملف","Nama File"
"Folder","","フォルダ","Folder","文件夹","資料夾","폴더","Carpeta","مجلد","Folder"
"FolderPath","","フォルダパス","Folder Path","文件夹路径","資料夾路徑","폴더 경로","Ruta de la carpeta","مسار المجلد","Jalur Folder"
"GitHubApiLimit","","GitHub APIの取得制限に達しました。アカウントをお持ちでない場合は、しばらく時間を置いてから再度お試しください。","GitHub API rate limit reached. If you do not have an account, please try again later.","已达到 GitHub API 获取限制。如果您没有账号，请稍后再试。","已達到 GitHub API 取得限制。如果您沒有帳號，請稍後再試。","GitHub API 호출 제한에 도달했습니다. 계정이 없는 경우 잠시 후 다시 시도해 주세요。","Se ha alcanzado el límite de la API de GitHub. Si no tiene una cuenta, inténtelo de nuevo más tarde.","تم الوصول إلى حد واجهة برمجة تطبيقات GitHub. إذا لم يكن لديك حساب، يرجى المحاولة مرة أخرى لاحقًا。","Batas pengambilan API GitHub telah tercapai. Jika Anda tidak memiliki akun, silakan coba lagi nanti."
"GitHubApiSettings","","GitHub API 設定","GitHub API Settings","GitHub API 设置","GitHub API 設定","GitHub API 설정","Ajustes de la API de GitHub","إعدادات GitHub API","Pengaturan API GitHub"
"HubSettings","","Hub設定","Hub Settings","Hub 设置","Hub 設定","Hub 설정","Ajustes de Hub","إعدادات Hub","Pengaturan Hub"
"Image","","画像","Image","图像","圖片","이미지","Imagen","صورة","Gambar"
"Install","","インストール","Install","安装","安裝","설치","Instalar","تثبيت","Instal"
"InstallerNotFound","","指定されたインスタンスにインストーラーが見つかりません。","Installer not found in the specified instance.","指定的实例中找不到安装程序。","指定的執行個體中找不到安裝程式。","지정된 인스턴스에서 설치 프로그램을 찾을 수 없습니다。","No se encontró el instalador en la instancia especificada.","لم يتم العثور على برنامج التثبيت في المثيل المحدد。","Pemasang tidak ditemukan di instans yang ditentukan."
"Instance","","インスタンス","Instance","实例","執行個體","인스턴스","Instancia","مثيل","Instans"
"InstanceName","","インスタンス名","Instance Name","实例名称","執行個體名稱","인스턴스 이름","Nombre de la instancia","اسم المثيل","Nama Instans"
"IssueToken","","トークンを発行する","Issue Token","发行令牌","發行令牌","토큰 발행","Emitir token","إصدار رمز","Terbitkan Token"
"LanguageSettings","","言語設定","Language Settings","语言设置","語言設定","언어 설정","Ajustes de idioma","إعدادات اللغة","Pengaturan Bahasa"
"LastUpdate","","最終更新日時","Last Update","最后更新时间","最後更新時間","최종 갱신 일시","Última actualización","آخر تحديث","Pembaruan Terakhir"
"LatestVersion","","最新バージョン","Latest Version","最新版本","最新版本","최신 버전","Última versión","أحدث إصدار","Versi Terbaru"
"Launch","","起動","Launch","启动","啟動","실행","Iniciar","تشغيل","Luncurkan"
"Light","","ライト","Light","浅色","淺色","라이트","Claro","فاتح","Terang"
"LoadAudio","","音声読み込み","Load Audio","加载音频","載入音訊","음성 불러오기","Cargar audio","تحميل الصوت","Muat Audio"
"LoadImage","","画像読み込み","Load Image","加载图像","載入圖片","이미지 불러오기","Cargar imagen","تحميل الصورة","Muat Gambar"
"LoadVideo","","動画読み込み","Load Video","加载视频","載入影片","동영상 불러오기","Cargar video","تحميل الفيديو","Muat Video"
"MonitorEditFolder","","編集データフォルダの監視","Monitor edit data folder","监控编辑数据文件夹","監控編輯數據資料夾","편집 데이터 폴더 감시","Monitorear carpeta de datos de edición","مراقبة مجلد بيانات التحرير","Pantau folder data edit"
"NewInstance","","新規インスタンス","New Instance","新实例","新執行個體","새 인스턴스","Nueva instancia","مثيل جديد","Instans Baru"
"Niconico","","ニコニコ動画","Niconico","niconico 动画","niconico 動畫","니코니코 동화","Niconico","نيكو نيكو دوغا","Niconico"
"NoInfo","","情報なし","No Information","无信息","無資訊","정보 없음","Sin información","لا توجد معلومات","Tidak Ada Informasi"
"OpenLastProject","","前回のプロジェクトを開く","Open Last Project","打开上次的项目","開啟上次的專案","이전 프로젝트 열기","Abrir último proyecto","فتح المشروع الأخير","Buka Proyek Terakhir"
"OpenLinkFailed","","リンクを開けませんでした","Failed to open link","无法打开链接","無法開啟連結","링크를 열 수 없습니다","No se pudo abrir el enlace","فشل في فتح الرابط","Gagal membuka tautan"
"OpenPluginFolder","","プラグインフォルダを開く","Open Plugin Folder","打开插件文件夹","開啟外掛資料夾","플러그인 폴더 열기","Abrir carpeta de plugins","فتح مجلد الملحقات","Buka Folder Plugin"
"OperationSettings","","動作設定","Operation Settings","操作设置","操作設定","동작 설정","Ajustes de operación","إعدادات التشغيل","Pengaturan Operasi"
"Others","","その他","Others","其他","其他","기타","Otros","آخرون","Lainnya"
"Overview","","概要","Overview","概述","概述","개요","Resumen","نظرة عامة","Ringkasan"
"Path","","パス","Path","路径","路徑","경로","Ruta","مسار","Jalur"
"Pattern","","模様","Pattern","图案","圖案","무늬","Patrón","نمط","Pola"
"PluginManagement","","プラグイン管理","Plugin Management","插件管理","外掛管理","플러그인 관리","Gestión de plugins","إدارة الملحقات","Manajemen Plugin"
"PluginName","","プラグイン名","Plugin Name","插件名称","外掛名稱","플러그인 이름","Nombre del plugin","اسم الملحق","Nama Plugin"
"PluginPortal","","プラグインポータル","Plugin Portal","插件门户","外掛門戶","플러그인 포털","Portal de plugins","بوابة الملحقات","Portal Plugin"
"PluginSearch","","プラグイン検索","Plugin Search","插件搜索","外掛搜尋","플러그인 검색","Búsqueda de plugins","بحث الملحقات","Pencarian Plugin"
"PortalLoadFailed","","ポータル読み込み失敗","Failed to load portal","门户加载失败","門戶載入失敗","포털 로드 실패","Error al cargar el portal","فشل تحميل البوابة","Gagal memuat portal"
"PreRelease","","(プレリリース)","(Pre-release)","(预发布)","(預發行)","(프리릴리스)","(Prerrelease)","(ما قبل الإصدار)","(Prarilis)"
"RemoveFromHub","","をHubから削除しますか？","Do you want to remove this from the Hub?","是否将其从 Hub 中删除？","是否將其從 Hub 中刪除？","을(를) Hub에서 삭제하시겠습니까?","¿Desea eliminar esto de Hub?","هل تريد إزالته من Hub؟","Apakah Anda ingin menghapus ini dari Hub?"
"RestartRequired","","(要再起動)","(Restart Required)","(需重启)","(需重啟)","(재시작 필요)","(Requiere reinicio)","(يتطلب إعادة التشغيل)","(Perlu Mulai Ulang)"
"SceneTransition","","場面切り替え","Scene Transition","场景切换","場景切換","장면 전환","Transición de escena","انتقال المشهد","Transisi Adegan"
"SearchFont","","フォントを検索...","Search fonts...","搜索字体...","搜尋字體...","글꼴 검색...","Buscar fuentes...","البحث عن الخطوط...","Cari font..."
"SearchLabel","","検索:","Search:","搜索:","搜尋:","검색:","Buscar:","بحث:","Cari:"
"SearchPlugins","","プラグインを検索","Search Plugins","搜索插件","搜尋外掛","플러그인 검색","Buscar plugins","البحث عن الملحقات","Cari Plugin"
"SearchProject","","プロジェクト･プロジェクト名で検索...","Search by project/project name...","按项目/项目名称搜索...","按專案/專案名稱搜尋...","프로젝트·프로젝트 이름으로 검색...","Buscar por proyecto/nombre del proyecto...","البحث حسب المشروع/اسم المشروع...","Cari berdasarkan proyek/nama proyek..."
"SelectInstallVersion","","インストールするバージョンと対象のインスタンスを選択してください。","Please select the version to install and the target instance.","请选择要安装的版本和目标实例。","請選擇要安裝的版本和目標執行個體。","설치할 버전과 대상 인스턴스를 선택해 주세요。","Seleccione la versión a instalar y la instancia de destino.","يرجى تحديد الإصدار المراد تثبيته والمثيل المستهدف。","Silakan pilih versi yang akan diinstal dan instans target."
"SelectInstance","","インスタンスを選択してください","Please select an instance.","请选择实例。","請選擇執行個體。","인스턴스를 선택해 주세요.","Por favor, seleccione una instancia.","يرجى تحديد مثيل.","Silakan pilih instans."
"SelectPluginsToInstall","","インストール対象のプラグインをチェックボックスで選択してください。","Please select the plugins to install using the checkboxes.","请使用复选框选择要安装的插件。","請使用核取方塊選擇要安裝的外掛。","설치할 플러그인을 체크박스로 선택해 주세요.","Silakan pilih plugin yang akan diinstal menggunakan kotak centang.","Seleccione los plugins que desea instalar usando las casillas de verificación.","يرجى تحديد الملحقات المراد تثبيتها باستخدام مربعات الاختيار."
"SelectVersion","","バージョン選択","Select Version","选择版本","選擇版本","버전 선택","Seleccionar versión","تحديد الإصدار","Pilih Versi"
"Shapes","","図形","Shapes","形状","形狀","도형","Formas","أشكال","Bentuk"
"Size","","サイズ","Size","大小","大小","크기","Tamaño","الحجم","Ukuran"
"SpeechSynthesis","","音声合成","Speech Synthesis","语音合成","語音合成","음성 합성","Síntesis de voz","تركيب الكلام","Sintesis Suara"
"Status","","状態","Status","状态","狀態","상태","Estado","الحالة","Status"
"TextCompletion","","テキスト補完","Text Completion","文本补全","文字補全","텍스트 보완","Completado de texto","إكمال النص","Penyelesaian Teks"
"ThemeSettings","","テーマ設定","Theme Settings","主题设置","主題設定","테마 설정","Ajustes de tema","إعدادات المظهر","Pengaturan Tema"
"Toggle","","切替","Toggle","切换","切換","전환","Alternar","تبديل","Alihkan"
"Token","","トークン","Token","令牌","令牌","토큰","Token","رمز","Token"
"Tools","","ツール","Tools","工具","工具","도구","Herramientas","أدوات","Alat"
"Transcription","","文字起こし","Transcription","转录","轉錄","기록","Transcripción","نسخ النص","Transkripsi"
"TypeFilter","","タイプフィルター","Type Filter","类型筛选","類型篩選","타입 필터","Filtro de tipo","فلتر النوع","Filter Tipe"
"UiFont","","UIフォント","UI Font","UI 字体","UI 字體","UI 글꼴","Fuente de la IU","خط واجهة المستخدم","Font UI"
"UncheckAll","","すべて外す","Uncheck All","取消全选","取消全選","모두 해제","Desmarcar todo","إلغاء تحديد الكل","Hapus Semua Centang"
"UpdateAvailable","","アップデートあり","Update available","有更新","有更新","업데이트 있음","Actualización disponible","تحديث متاح","Pembaruan tersedia"
"UpdateDetails","","アップデート内容","Update Details","更新内容","更新內容","업데이트 내용","Detalles de la actualización","تفاصيل التحديث","Detail Pembaruan"
"VideoEffects","","映像エフェクト","Video Effects","视频效果","影片效果","영상 이펙트","Efectos de video","تأثيرات الفيديو","Efek Video"
"VideoOutput","","動画出力","Video Output","视频输出","影片輸出","동영상 출력","Salida de video","إخراج الفيديو","Output Video"
"WindowsStandard","","Windows標準","Windows Standard","Windows 标准","Windows 標準","Windows 표준","Estándar de Windows","قياسي ويندوز","Standar Windows"
"Ymm4InfoSite","","YMM4情報サイト","YMM4 Information Site","YMM4 信息站","YMM4 資訊站","YMM4 정보 사이트","Sitio de información de YMM4","موقع معلومات YMM4","Situs Informasi YMM4"
"Filter","","フィルタ","Filter","筛选","篩選","필터","Filtro","تصفية","Filter"
"FileFormat","","ファイル形式","File Format","文件格式","檔案格式","파일 형식","Formato de archivo","تنسيق الملف","Format File"
"Location","","場所","Location","位置","位置","위치","Ubicación","الموقع","Lokasi"
"IncludeBackup","","バックアップを含む","Include Backup","包括备份","包含備份","백업 포함","Incluir copia de seguridad","تضمين النسخ الاحتياطي","Sertakan Cadangan"
"InstanceLabel","","インスタンス:","Instance:","实例:","實例:","인스턴스:","Instancia:","مثيل:","Instance:"
"StatusColumn","","状態","Status","状态","狀態","상태","Estado","الحالة","Status"
"Enabled","","有効","Enabled","已启用","已啟用","활성화","Habilitado","ممكّن","Diaktifkan"
"Disabled","","無効","Disabled","已禁用","已停用","비활성화","Deshabilitado","معطّل","Dinonaktifkan"
"TypeColumn","","タイプ","Type","类型","類型","유형","Tipo","النوع","Tipe"
"AuthorColumn","","作者","Author","作者","作者","작성자","Autor","المؤلف","Penulis"
"VersionColumn","","バージョン","Version","版本","版本","버전","Versión","الإصدار","Versi"
"PublishedAt","","公開日時","Published At","发布时间","發布時間","공개 일시","Publicado el","تاريخ النشر","Diterbitkan"
"DownloadedAt","","DL日時","Downloaded At","下载时间","下載時間","다운로드 일시","Descargado el","تاريخ التنزيل","Diunduh"
"UpdateColumn","","更新","Update","更新","更新","업데이트","Actualizar","تحديث","Perbarui"
"DownloadStatus","","ダウンロード状態","Download Status","下载状态","下載狀態","다운로드 상태","Estado de descarga","حالة التنزيل","Status Unduhan"
"Downloaded","","ダウンロード済み","Downloaded","已下载","已下載","다운로드됨","Descargado","تم التنزيل","Sudah Diunduh"
"NotDownloaded","","未ダウンロード","Not Downloaded","未下载","未下載","미다운로드","No descargado","لم يتم التنزيل","Belum Diunduh"
"HasUpdate","","更新あり","Has Update","有更新","有更新","업데이트 있음","Con actualización","يوجد تحديث","Ada Pembaruan"
"SortBy","","並び替え","Sort By","排序方式","排序方式","정렬 기준","Ordenar por","ترتيب حسب","Urutkan"
"SortByName","","名前順","By Name","按名称","按名稱","이름순","Por nombre","حسب الاسم","Berdasarkan Nama"
"SortByAuthor","","作者順","By Author","按作者","按作者","작성자순","Por autor","حسب المؤلف","Berdasarkan Penulis"
"SortByType","","タイプ順","By Type","按类型","按類型","유형순","Por tipo","حسب النوع","Berdasarkan Tipe"
"SortByStatus","","状態順","By Status","按状态","按狀態","상태순","Por estado","حسب الحالة","Berdasarkan Status"
"SortByPublishDate","","初公開日時順","By First Published","按首次发布日期","按首次發布日期","초공개일 순","Por primera publicación","حسب تاريخ النشر الأول","Berdasarkan Pertama Terbit"
"SortByLatestDate","","最終更新日時順","By Latest Update","按最新更新日期","按最新更新日期","최신 업데이트 순","Por última actualización","حسب آخر تحديث","Berdasarkan Pembaruan Terbaru"
"SortDirection","","並び順","Sort Direction","排序方向","排序方向","정렬 방향","Dirección de orden","اتجاه الترتيب","Arah Urutan"
"Ascending","","昇順","Ascending","升序","升序","오름차순","Ascendente","تصاعدي","Menaik"
"Descending","","降順","Descending","降序","降序","내림차순","Descendente","تنازلي","Menurun"
"AddToQueue","","予約に追加","Add to Queue","添加到队列","加入佇列","대기열에 추가","Agregar a la cola","إضافة إلى قائمة الانتظار","Tambah ke Antrian"
"RefreshList","","リスト更新","Refresh List","刷新列表","重新整理清單","목록 새로고침","Actualizar lista","تحديث القائمة","Segarkan Daftar"
"BulkDownload","","一括ダウンロード","Bulk Download","批量下载","批次下載","일괄 다운로드","Descarga masiva","تنزيل مجمّع","Unduh Massal"
"PluginSettings","","プラグイン設定","Plugin Settings","插件设置","外掛程式設定","플러그인 설정","Configuración de plugins","إعدادات المكوّنات الإضافية","Pengaturan Plugin"
"AutoUpdatePlugins","","起動時に更新があるプラグインを自動更新","Auto-update plugins on startup","启动时自动更新插件","啟動時自動更新外掛程式","시작 시 플러그인 자동 업데이트","Actualizar automáticamente plugins al iniciar","تحديث المكوّنات الإضافية تلقائياً","Perbarui otomatis plugin saat startup"
"InstalledVersion","","導入済み: {0}","Installed: {0}","已安装: {0}","已安裝: {0}","설치됨: {0}","Instalado: {0}","مثبّت: {0}","Terinstal: {0}"
"Download","","ダウンロード","Download","下载","下載","다운로드","Descargar","تنزيل","Unduh"
"Update","","更新","Update","更新","更新","업데이트","Actualizar","تحديث","Perbarui"
"CheckOnSite","","サイトで確認","Check on Site","在网站上查看","在網站上查看","사이트에서 확인","Ver en sitio","التحقق على الموقع","Cek di Situs"
"FolderButton","","フォルダ","Folder","文件夹","資料夾","폴더","Carpeta","مجلد","Folder"
"OpenFolderTooltip","","フォルダを開く","Open Folder","打开文件夹","開啟資料夾","폴더 열기","Abrir carpeta","فتح المجلد","Buka Folder"
"BulkInstallTitle","","一括インストール確認","Bulk Install Confirmation","批量安装确认","批次安裝確認","일괄 설치 확인","Confirmación de instalación masiva","تأكيد التثبيت المجمّع","Konfirmasi Instalasi Massal"
"BulkInstallFinalCheck","","インストール内容の最終確認","Final installation confirmation","最终安装确认","最終安裝確認","설치 내용 최종 확인","Confirmación final de instalación","التأكيد النهائي للتثبيت","Konfirmasi instalasi akhir"
"InstallTargetInstance","","インストール先のインスタンス:","Target Instance:","安装目标实例:","安裝目標實例:","설치 대상 인스턴스:","Instancia de destino:","مثيل الهدف:","Instance Target:"
"StartInstall","","インストール開始","Start Install","开始安装","開始安裝","설치 시작","Iniciar instalación","بدء التثبيت","Mulai Instalasi"
"Cancel","","キャンセル","Cancel","取消","取消","취소","Cancelar","إلغاء","Batal"
"InstallProgress","","インストール進捗","Install Progress","安装进度","安裝進度","설치 진행","Progreso de instalación","تقدم التثبيت","Progress Instalasi"
"Preparing","","準備中...","Preparing...","准备中...","準備中...","준비 중...","Preparando...","جارٍ التحضير...","Mempersiapkan..."
"CompleteAndClose","","完了して閉じる","Close","完成并关闭","完成並關閉","완료 후 닫기","Completar y cerrar","إتمام وإغلاق","Selesai & Tutup"
"SelectPluginToInstall","","プラグインを選択してください。","Please select a plugin.","请选择插件。","請選擇外掛程式。","플러그인을 선택해 주세요.","Por favor seleccione un plugin.","الرجاء اختيار مكوّن إضافي.","Silakan pilih plugin."
"AddToQueueCount","","{0}個のプラグインを予約リストに追加しました。（予約リスト機能は今後実装予定）","Added {0} plugin(s) to queue.(Queue feature coming soon)","已将{0}个插件添加到队列。（队列功能即将推出）","已將{0}個外掛程式加入佇列。（佇列功能即將推出）","{0}개의 플러그인을 대기열에 추가했습니다.(대기열 기능 곧 구현 예정)","Se agregaron {0} plugin(s) a la cola.(La función de cola se implementará próximamente)","تمت إضافة {0} مكوّن(ات) إلى قائمة الانتظار.(الميزة قادمة قريباً)","Menambahkan {0} plugin ke antrian.(Fitur antrian akan segera tersedia)"
"RefreshListSuccess","","プラグインリストを更新しました。","Plugin list refreshed.","插件列表已更新。","外掛程式清單已更新。","플러그인 목록을 업데이트했습니다.","Lista de plugins actualizada.","تم تحديث قائمة المكوّنات الإضافية.","Daftar plugin diperbarui."
"RefreshListFailed","","リストの更新に失敗しました: {0}","Failed to refresh list: {0}","列表更新失败: {0}","清單更新失敗: {0}","목록 업데이트 실패: {0}","Error al actualizar la lista: {0}","فشل تحديث القائمة: {0}","Gagal memperbarui daftar: {0}"
"SelectDownloadPlugin","","ダウンロードするプラグインを選択してください。","Please select plugins to download.","请选择要下载的插件。","請選擇要下載的外掛程式。","다운로드할 플러그인을 선택해 주세요.","Por favor seleccione los plugins a descargar.","الرجاء اختيار المكوّنات الإضافية للتنزيل.","Silakan pilih plugin untuk diunduh."
"SkipNoRelease","","このプラグインは有効なリリース情報が見つからないため、ダウンロードをスキップしました。","No valid release info found. Download skipped.","未找到有效发布信息，已跳过下载。","找不到有效發布資訊，已跳過下載。","유효한 릴리스 정보를 찾을 수 없어 다운로드를 건너뜁니다.","No se encontró información de lanzamiento válida. Descarga omitida.","لم يتم العثور على معلومات إصدار صالحة. تم تخطي التنزيل.","Informasi rilis valid tidak ditemukan. Unduhan dilewati."
"SkipTitle","","通知","Notice","通知","通知","알림","Aviso","إشعار","Pemberitahuan"
"ErrorNoDownloadVersion","","エラー: ダウンロード可能なバージョンがありません","Error: No downloadable version available","错误: 没有可下载的版本","錯誤: 沒有可下載的版本","오류: 다운로드 가능한 버전이 없습니다","Error: No hay versión descargable","خطأ: لا يوجد إصدار قابل للتنزيل","Kesalahan: Tidak ada versi yang bisa diunduh"
"SkipUnsupportedFormat","","スキップ: 対応していない形式です ({0})","Skipped: Unsupported format ({0})","已跳过: 不支持的格式 ({0})","已跳過: 不支援的格式 ({0})","건너뜀: 지원되지 않는 형식 ({0})","Omitido: Formato no compatible ({0})","تم التخطي: تنسيق غير مدعوم ({0})","Dilewati: Format tidak didukung ({0})"
"DllInstalledMsg","",".dllファイルをフォルダ「{0}」にインストールしました。",".dll file installed to folder '{0}'.",".dll文件已安装到文件夹「{0}」。",".dll檔案已安裝至資料夾「{0}」。",".dll 파일을 폴더 '{0}'에 설치했습니다.","Archivo .dll instalado en la carpeta '{0}'.","تم تثبيت ملف .dll في المجلد '{0}'.","File .dll telah dipasang ke folder '{0}'."
"NoReadme","","Readmeは含まれていません。","No Readme included.","不包含Readme。","不包含Readme。","Readme가 포함되어 있지 않습니다.","No se incluye Readme.","لا يوجد ملف Readme.","Tidak ada Readme."
